what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1350054071425
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1350054071425
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1350054071425
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1350054071425
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1350054071425
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1350054071425
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1350054071425
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1350054071425
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1350054071425
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1350054071425
started,bundle,com.altera.sbtgui.integration,10.0.0.218,"com.altera.sbtgui.integration",1350054071425
started,bundle,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch",1350054071425
started,bundle,com.altera.sbtgui.project,10.0.0.218,"com.altera.sbtgui.project",1350054071425
started,bundle,com.altera.systemconsole,10.0.0.218,"com.altera.systemconsole",1350054071425
started,bundle,com.altera.utilities,10.0.0.218,"com.altera.utilities",1350054071425
os,sysinfo,,,"win32",1350054071441
arch,sysinfo,,,"x86",1350054071441
ws,sysinfo,,,"win32",1350054071441
locale,sysinfo,,,"ko_KR",1350054071441
processors,sysinfo,,,"4",1350054071441
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350054071441
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1350054071441
java.specification.name,sysinfo,,,"Java Platform API Specification",1350054071441
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350054071441
java.specification.version,sysinfo,,,"1.6",1350054071441
